Year,Region,Postcode,Data Item,Sum of Value
2015,Gilmore,2905,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Gilmore,2905,Number of Businesses by Industry - Arts and recreation services (no.),3
2015,Gilmore,2905,Number of Businesses by Industry - Construction (no.),50
2015,Gilmore,2905,Number of Businesses by Industry - Currently unknown (no.),0
2015,Gilmore,2905,Number of Businesses by Industry - Education and training (no.),0
2015,Gilmore,2905,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Gilmore,2905,Number of Businesses by Industry - Financial and insurance services (no.),5
2015,Gilmore,2905,Number of Businesses by Industry - Health care and social assistance (no.),5
2015,Gilmore,2905,Number of Businesses by Industry - Information media and telecommunications (no.),3
2015,Gilmore,2905,Number of Businesses by Industry - Manufacturing (no.),4
2015,Gilmore,2905,Number of Businesses by Industry - Mining (no.),0
2015,Gilmore,2905,Number of Businesses by Industry - Other services (no.),7
2015,Gilmore,2905,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",17
2015,Gilmore,2905,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Gilmore,2905,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",3
2015,Gilmore,2905,Number of Businesses by Industry - Retail trade (no.),4
2015,Gilmore,2905,Number of Businesses by Industry - Total (no.),131
2015,Gilmore,2905,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",17
2015,Gilmore,2905,Number of Businesses by Industry - Wholesale trade (no.),3
2014,Giralang,2617,Number of Businesses by Industry - Accommodation and food services (no.),5
2014,Giralang,2617,Number of Businesses by Industry - Administrative and support services (no.),4
2014,Giralang,2617,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Giralang,2617,Number of Businesses by Industry - Arts and recreation services (no.),3
2014,Giralang,2617,Number of Businesses by Industry - Construction (no.),55
2014,Giralang,2617,Number of Businesses by Industry - Currently unknown (no.),3
2014,Giralang,2617,Number of Businesses by Industry - Education and training (no.),10
2014,Giralang,2617,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Giralang,2617,Number of Businesses by Industry - Financial and insurance services (no.),5
2014,Giralang,2617,Number of Businesses by Industry - Health care and social assistance (no.),5
2014,Giralang,2617,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Giralang,2617,Number of Businesses by Industry - Manufacturing (no.),3
2014,Giralang,2617,Number of Businesses by Industry - Mining (no.),0
2014,Giralang,2617,Number of Businesses by Industry - Other services (no.),5
2014,Giralang,2617,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",23
2014,Giralang,2617,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Giralang,2617,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",7
2014,Giralang,2617,Number of Businesses by Industry - Retail trade (no.),5
2014,Giralang,2617,Number of Businesses by Industry - Total (no.),150
2014,Giralang,2617,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",8
2014,Giralang,2617,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Giralang,2617,Number of Businesses by Industry - Accommodation and food services (no.),4
2015,Giralang,2617,Number of Businesses by Industry - Administrative and support services (no.),5
2015,Giralang,2617,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Giralang,2617,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Giralang,2617,Number of Businesses by Industry - Construction (no.),57
2015,Giralang,2617,Number of Businesses by Industry - Currently unknown (no.),3
2015,Giralang,2617,Number of Businesses by Industry - Education and training (no.),9
2015,Giralang,2617,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Giralang,2617,Number of Businesses by Industry - Financial and insurance services (no.),6
2015,Giralang,2617,Number of Businesses by Industry - Health care and social assistance (no.),6
2015,Giralang,2617,Number of Businesses by Industry - Information media and telecommunications (no.),3
2015,Giralang,2617,Number of Businesses by Industry - Manufacturing (no.),0
2015,Giralang,2617,Number of Businesses by Industry - Mining (no.),0
2015,Giralang,2617,Number of Businesses by Industry - Other services (no.),5
2015,Giralang,2617,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",20
2015,Giralang,2617,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Giralang,2617,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",7
2015,Giralang,2617,Number of Businesses by Industry - Retail trade (no.),4
2015,Giralang,2617,Number of Businesses by Industry - Total (no.),137
2015,Giralang,2617,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",5
2015,Giralang,2617,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Accommodation and food services (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Administrative and support services (no.),0
2014,Gooromon,2618,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Gooromon,2618,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Construction (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Currently unknown (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Education and training (no.),0
2014,Gooromon,2618,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Gooromon,2618,Number of Businesses by Industry - Financial and insurance services (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Health care and social assistance (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Manufacturing (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Mining (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Other services (no.),0
2014,Gooromon,2618,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",0
2014,Gooromon,2618,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Gooromon,2618,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2014,Gooromon,2618,Number of Businesses by Industry - Retail trade (no.),0
2014,Gooromon,2618,Number of Businesses by Industry - Total (no.),0
2014,Gooromon,2618,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2014,Gooromon,2618,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Accommodation and food services (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Administrative and support services (no.),0
2015,Gooromon,2618,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Gooromon,2618,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Construction (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Currently unknown (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Education and training (no.),0
2015,Gooromon,2618,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Gooromon,2618,Number of Businesses by Industry - Financial and insurance services (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Health care and social assistance (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Manufacturing (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Mining (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Other services (no.),0
2015,Gooromon,2618,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",0
2015,Gooromon,2618,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Gooromon,2618,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2015,Gooromon,2618,Number of Businesses by Industry - Retail trade (no.),0
2015,Gooromon,2618,Number of Businesses by Industry - Total (no.),0
2015,Gooromon,2618,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2015,Gooromon,2618,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Gordon (ACT),2072,Number of Businesses by Industry - Accommodation and food services (no.),14
2014,Gordon (ACT),2072,Number of Businesses by Industry - Administrative and support services (no.),11
2014,Gordon (ACT),2072,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",7
2014,Gordon (ACT),2072,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Gordon (ACT),2072,Number of Businesses by Industry - Construction (no.),89
2014,Gordon (ACT),2072,Number of Businesses by Industry - Currently unknown (no.),3
2014,Gordon (ACT),2072,Number of Businesses by Industry - Education and training (no.),5
2014,Gordon (ACT),2072,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Gordon (ACT),2072,Number of Businesses by Industry - Financial and insurance services (no.),25
2014,Gordon (ACT),2072,Number of Businesses by Industry - Health care and social assistance (no.),10
2014,Gordon (ACT),2072,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Gordon (ACT),2072,Number of Businesses by Industry - Manufacturing (no.),9
2014,Gordon (ACT),2072,Number of Businesses by Industry - Mining (no.),0
2014,Gordon (ACT),2072,Number of Businesses by Industry - Other services (no.),12
2014,Gordon (ACT),2072,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",39
2014,Gordon (ACT),2072,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Gordon (ACT),2072,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",16
2014,Gordon (ACT),2072,Number of Businesses by Industry - Retail trade (no.),8
2014,Gordon (ACT),2072,Number of Businesses by Industry - Total (no.),277
2014,Gordon (ACT),2072,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",24
2014,Gordon (ACT),2072,Number of Businesses by Industry - Wholesale trade (no.),5
2015,Gordon (ACT),2072,Number of Businesses by Industry - Accommodation and food services (no.),14
2015,Gordon (ACT),2072,Number of Businesses by Industry - Administrative and support services (no.),10
2015,Gordon (ACT),2072,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",5
